Home Team Previous Season Win Pctg,Home Team Current Season Win Pctg,Visiting Team Previous Season Win Pctg,Visiting Team Current Season Win Pctg,gameDate,Home Team,Visiting Team,"Winner: 0 Home, 1Visiting"
0.5366,0.371429,0.5732,0.585714,2022-04-07,OTT,NSH,1
0.5366,0.367347,0.4634,0.64,2022-02-20,OTT,NYR,1
0.4634,0.622951,0.4146,0.431034,2022-03-17,NYR,NYI,1
0.5,0.333333,0.4146,0.40625,2022-01-18,PHI,NYI,1
0.6341,0.328947,0.4878,0.618421,2022-04-18,CHI,CGY,1
0.5732,0.571429,0.4878,0.61039,2022-04-19,NSH,CGY,0
0.4634,0.674419,0.4268,0.695652,2022-02-12,MIN,CAR,0
0.4878,0.568182,0.3659,0.681818,2022-02-10,CGY,TOR,0
0.4756,0.25,0.4756,0.620253,2022-04-24,MTL,BOS,1
0.4634,0.652174,0.3902,0.693878,2022-02-18,MIN,FLA,1
0.5244,0.733333,0.4146,0.638298,2022-02-10,COL,TBL,0
0.4878,0.586957,0.3902,0.489362,2022-02-15,CGY,CBJ,0
0.5976,0.44898,0.3659,0.666667,2022-02-12,VAN,TOR,0
0.5366,0.375,0.4756,0.571429,2022-02-19,OTT,BOS,1
0.4268,0.6875,0.5732,0.56,2022-02-18,CAR,NSH,0
0.5488,0.304348,0.3902,0.488889,2022-02-10,BUF,CBJ,1
0.5366,0.442308,0.5244,0.72549,2022-02-23,DET,COL,1
0.4146,0.4,0.4756,0.2,2022-02-20,NYI,MTL,1
0.3293,0.5625,0.4756,0.45098,2022-02-17,EDM,ANA,0
0.4756,0.577778,0.4268,0.711111,2022-02-10,BOS,CAR,1
0.5366,0.369565,0.4878,0.595745,2022-02-15,OTT,STL,1
0.5,0.306122,0.6585,0.538462,2022-02-17,PHI,WSH,1
0.5732,0.584906,0.5854,0.352941,2022-02-24,PIT,NJD,1
0.6341,0.346154,0.3902,0.7,2022-02-20,CHI,FLA,1
0.4878,0.595745,0.4756,0.46,2022-02-16,CGY,ANA,0
0.622,0.458333,0.5976,0.46,2022-02-17,SJS,VAN,1
0.5488,0.32,0.5244,0.734694,2022-02-19,BUF,COL,1
0.4634,0.62963,0.4756,0.259259,2022-04-27,NYR,MTL,1
0.561,0.5,0.3293,0.553191,2022-02-15,LAK,EDM,1
0.4756,0.58,0.5244,0.72,2022-02-21,BOS,COL,0
0.3659,0.666667,0.4878,0.591837,2022-02-19,TOR,STL,1
0.5366,0.380952,0.4268,0.704545,2022-02-08,OTT,CAR,0
0.3902,0.686275,0.5732,0.568627,2022-02-22,FLA,NSH,1
0.5854,0.338028,0.4756,0.28169,2022-04-07,NJD,MTL,1
0.4146,0.45679,0.6585,0.54321,2022-04-28,NYI,WSH,0
0.5732,0.62,0.5,0.3125,2022-02-15,PIT,PHI,0
0.3902,0.510204,0.5488,0.313725,2022-02-20,CBJ,BUF,0
0.6341,0.352941,0.4512,0.5625,2022-02-18,CHI,DAL,1
0.4634,0.681818,0.5366,0.44,2022-02-14,MIN,DET,0
0.5976,0.45098,0.4756,0.461538,2022-02-19,VAN,ANA,1
0.622,0.468085,0.3293,0.543478,2022-02-14,SJS,EDM,1
0.4756,0.590909,0.5732,0.595745,2022-02-08,BOS,PIT,1
0.5488,0.333333,0.4146,0.395349,2022-02-15,BUF,NYI,0
0.4634,0.632653,0.5366,0.45098,2022-02-17,NYR,DET,1
0.6585,0.52,0.5366,0.377778,2022-02-13,WSH,OTT,1
0.4268,0.680851,0.3902,0.6875,2022-02-16,CAR,FLA,1
0.3902,0.52,0.3659,0.64,2022-02-22,CBJ,TOR,0
0.4878,0.577778,0.5854,0.354167,2022-02-10,STL,NJD,1
0.4512,0.545455,0.5732,0.595745,2022-02-09,DAL,NSH,0
0.4878,0.618182,0.3293,0.526316,2022-03-07,CGY,EDM,0
0.4756,0.471698,0.622,0.44,2022-02-22,ANA,SJS,0
0.6341,0.36,0.3902,0.5,2022-02-17,CHI,CBJ,1
0.3659,0.680851,0.5732,0.607843,2022-02-17,TOR,PIT,0
0.5366,0.363636,0.4756,0.586957,2022-02-12,OTT,BOS,1
0.4146,0.451613,0.5366,0.40625,2022-03-24,NYI,DET,0
0.5244,0.723404,0.4512,0.553191,2022-02-15,COL,DAL,1
0.5366,0.372093,0.5732,0.604167,2022-02-10,OTT,PIT,1
0.4512,0.543478,0.5244,0.73913,2022-02-13,DAL,COL,1
0.5366,0.454545,0.4756,0.571429,2022-01-02,DET,BOS,1
0.4634,0.636364,0.4146,0.617647,2022-01-02,NYR,TBL,0
0.5732,0.580645,0.622,0.515152,2022-01-02,PIT,SJS,0
0.6585,0.588235,0.5854,0.393939,2022-01-02,WSH,NJD,1
0.6341,0.34375,0.4878,0.566667,2022-01-02,CHI,CGY,1
0.5244,0.642857,0.4756,0.485714,2022-01-02,COL,ANA,0
0.3659,0.697674,0.4268,0.72093,2022-02-07,TOR,CAR,0
0.5366,0.38,0.4634,0.645833,2022-02-22,OTT,MIN,0
0.4634,0.647059,0.3293,0.545455,2022-01-03,NYR,EDM,0
0.4756,0.586207,0.5854,0.382353,2022-01-04,BOS,NJD,0
0.4756,0.173913,0.6585,0.530612,2022-02-10,MTL,WSH,1
0.5366,0.470588,0.622,0.5,2022-01-04,DET,SJS,0
0.3902,0.666667,0.4878,0.548387,2022-01-04,FLA,CGY,0
0.3902,0.483871,0.4146,0.628571,2022-01-04,CBJ,TBL,1
0.6341,0.333333,0.5244,0.655172,2022-01-04,CHI,COL,1
0.4756,0.5,0.5,0.393939,2022-01-04,ANA,PHI,0
0.3659,0.6875,0.3293,0.529412,2022-01-05,TOR,EDM,0
0.5732,0.59375,0.4878,0.558824,2022-01-05,PIT,STL,0
0.5976,0.4375,0.4146,0.425,2022-02-09,VAN,NYI,1
0.4756,0.566667,0.4634,0.625,2022-01-06,BOS,MIN,1
0.5488,0.294118,0.622,0.514286,2022-01-06,BUF,SJS,1
0.4756,0.215686,0.3659,0.653061,2022-02-21,MTL,TOR,0
0.4146,0.638889,0.4878,0.53125,2022-01-06,TBL,CGY,0
0.5854,0.4,0.3902,0.46875,2022-01-06,NJD,CBJ,0
0.5,0.382353,0.5732,0.606061,2022-01-06,PHI,PIT,1
0.4512,0.533333,0.3902,0.647059,2022-01-06,DAL,FLA,0
0.4756,0.5,0.5366,0.444444,2022-01-09,ANA,DET,0
0.561,0.470588,0.5732,0.628571,2022-01-06,LAK,NSH,1
0.4268,0.75,0.4878,0.515152,2022-01-07,CAR,CGY,0
0.4878,0.571429,0.6585,0.571429,2022-01-07,STL,WSH,0
0.4756,0.166667,0.5488,0.319149,2022-02-13,MTL,BUF,1
0.4146,0.621622,0.4756,0.580645,2022-01-08,TBL,BOS,1
0.5,0.371429,0.622,0.527778,2022-01-08,PHI,SJS,1
0.4268,0.727273,0.3902,0.657143,2022-01-08,CAR,FLA,1
0.3902,0.484848,0.5854,0.388889,2022-01-08,CBJ,NJD,0
0.4512,0.548387,0.5732,0.588235,2022-01-08,DAL,PIT,0
0.4634,0.636364,0.6585,0.555556,2022-01-08,MIN,WSH,0
0.5244,0.677419,0.3659,0.666667,2022-01-08,COL,TOR,0
